,whale,k,pool_ratio,size,duration,search_ratio,gas_fee,performance
0,0.0,0,0.05,100,1,0.01,0.0,0.4302
0,0.0,0,0.05,100,1,0.01,0.05,0.4896
0,0.0,0,0.05,100,1,0.01,0.2,0.4684
0,0.0,0,0.05,100,1,0.05,0.0,0.5486
0,0.0,0,0.05,100,1,0.05,0.05,0.4212
0,0.0,0,0.05,100,1,0.05,0.2,0.5498
0,0.0,0,0.05,100,1,0.2,0.0,0.6686
0,0.0,0,0.05,100,1,0.2,0.05,0.671
0,0.0,0,0.05,100,1,0.2,0.2,0.6776
0,0.0,0,0.05,100,1,0.5,0.0,0.6782
0,0.0,0,0.05,100,1,0.5,0.05,0.6894
0,0.0,0,0.05,100,1,0.5,0.2,0.6746
0,0.0,0,0.05,100,1,1.0,0.0,0.6588
0,0.0,0,0.05,100,1,1.0,0.05,0.6416
0,0.0,0,0.05,100,1,1.0,0.2,0.6642
0,0.0,0,0.2,100,1,0.01,0.0,0.5578
0,0.0,0,0.2,100,1,0.01,0.05,0.4902
0,0.0,0,0.2,100,1,0.01,0.2,0.539
0,0.0,0,0.2,100,1,0.05,0.0,0.6858
0,0.0,0,0.2,100,1,0.05,0.05,0.6808
0,0.0,0,0.2,100,1,0.05,0.2,0.6782
0,0.0,0,0.2,100,1,0.2,0.0,0.7626
0,0.0,0,0.2,100,1,0.2,0.05,0.7494
0,0.0,0,0.2,100,1,0.2,0.2,0.7554
0,0.0,0,0.2,100,1,0.5,0.0,0.7028
0,0.0,0,0.2,100,1,0.5,0.05,0.6986
0,0.0,0,0.2,100,1,0.5,0.2,0.699
0,0.0,0,0.2,100,1,1.0,0.0,0.6746
0,0.0,0,0.2,100,1,1.0,0.05,0.622
0,0.0,0,0.2,100,1,1.0,0.2,0.6422
0,0.0,0,0.5,100,1,0.01,0.0,0.46
0,0.0,0,0.5,100,1,0.01,0.05,0.5218
0,0.0,0,0.5,100,1,0.01,0.2,0.539
0,0.0,0,0.5,100,1,0.05,0.0,0.6944
0,0.0,0,0.5,100,1,0.05,0.05,0.6876
0,0.0,0,0.5,100,1,0.05,0.2,0.686
0,0.0,0,0.5,100,1,0.2,0.0,0.762
0,0.0,0,0.5,100,1,0.2,0.05,0.7716
0,0.0,0,0.5,100,1,0.2,0.2,0.7692
0,0.0,0,0.5,100,1,0.5,0.0,0.6882
0,0.0,0,0.5,100,1,0.5,0.05,0.6906
0,0.0,0,0.5,100,1,0.5,0.2,0.6886
